Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-03-15,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-16,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-17,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-18,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-21,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-22,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-23,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-24,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-25,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-28,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-29,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-30,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-03-31,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-01,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-04,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-05,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-06,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-07,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-08,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-11,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-12,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-13,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-14,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-15,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-18,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-19,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-20,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-25,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-26,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-27,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-28,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-04-29,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-02,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-03,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-04,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-05,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-06,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-09,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-10,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-11,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-12,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-13,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-16,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-17,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-18,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-19,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-20,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-23,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-24,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-25,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-26,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-27,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-30,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-05-31,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-01,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-02,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-03,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-06,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-07,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-08,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-09,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-10,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-13,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-14,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-15,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-16,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-17,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-20,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-21,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-22,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-24,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-27,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-28,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-29,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-06-30,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-01,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-04,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-05,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-06,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-07,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-08,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-11,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-12,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-13,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-14,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-15,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-18,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-19,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-20,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-21,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-22,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-25,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-26,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-27,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-28,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-07-29,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-01,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-02,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-03,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-04,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-05,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-08,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-09,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-10,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-11,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-12,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-15,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-16,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-17,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-18,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-19,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-22,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-23,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-24,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-25,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-26,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-29,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-30,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-08-31,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-01,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-02,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-05,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-06,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-08,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-09,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-12,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-13,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-14,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-15,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-16,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-19,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-20,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-21,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-22,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-23,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-26,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-27,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-28,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-29,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-09-30,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-03,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-04,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-05,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-06,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-07,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-10,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-11,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-13,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-14,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-17,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-18,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-19,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-20,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-21,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-24,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-25,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-26,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-27,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-28,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-10-31,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-01,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-03,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-04,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-07,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-08,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-09,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-10,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-11,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-14,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-16,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-17,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-18,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-21,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-22,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-23,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-24,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-25,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-28,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-29,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-11-30,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-01,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-02,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-05,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-06,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-07,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-08,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-09,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-12,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-13,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-14,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-15,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-16,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-19,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-20,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-21,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-22,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-23,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-26,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-27,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-28,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
2011-12-29,4.6504178047180185,4.6504178047180185,4.6504178047180185,4.650417804718018,0,0.0,0.0
